title,date,summary,operator,passengers,crew,fatalities,survivors
1994 Vanavara air disaster,26 September 1994,"<a href=""/wiki/Fuel_exhaustion"" class=""mw-redirect"" title=""Fuel exhaustion"">Fuel exhaustion</a> due to pilot error",Cheremshanka Airlines (page does not exist),24,4,28,0
American Eagle Flight 4184,"October 31, 1994","Atmospheric icing leading to loss of control<sup id=""cite_ref-AAR-06-01_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-06-01_Final_Report-1"">[1]</a></sup>",Simmons Airlines,64,4,68,0
Air Algérie/Phoenix Flight 702P,21 December 1994,Pilot error,Air Algérie,0,5,5,0
Air France Flight 8969,24–26 December 1994,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Air France,224,12,7,229
Turkish Airlines Flight 278,29 December 1994,Pilot error,Turkish Airlines,69,7,57,19
Bristow Flight 56C,19&#160;January&#160;1995,"Lightning strike, <a href=""/wiki/Ditching"" class=""mw-redirect"" title=""Ditching"">ditching</a>",Bristow Helicopters,16,2,0,18
TAROM Flight 371,31&#160;March&#160;1995,"Mechanical failure followed by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",TAROM,50,10,60,0
Ansett New Zealand Flight 703,9 June 1995,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Ansett New Zealand,18,3,4,17
Atlantic Southeast Airlines Flight 529,"August 21, 1995","Propeller blade failure due to corrosion, <a href=""/wiki/Fatigue_(material)"" title=""Fatigue (material)"">metal fatigue</a>, and improper mainentance<sup id=""cite_ref-AAR-96-06_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-96-06_Final_Report-1"">[1]</a></sup>",Atlantic Southeast Airlines,26,3,9,20
Malaysia Airlines Flight 2133,15 September 1995,Pilot error,Malaysia Airlines,49,4,34,19
American Airlines Flight 1572,"November 12, 1995","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a><sup id=""cite_ref-AAR-96-05_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-96-05_Final_Report-1"">[1]</a></sup>",American Airlines,73,5,0,78
Nigeria Airways Flight 357,13 November 1995,Crew error resulting in an unstable approach and eventual runway overrun,Nigeria Airways,124,14,11,127
Azerbaijan Airlines Flight 56,5 December 1995,"Engine failure, inadvertent shut-down of serviceable engine",Azerbaijan Airlines,76,6,52,30
American Airlines Flight 965,"December 20, 1995","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">CFIT</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",American Airlines,155,8,159,4
1996 Air Africa crash,"January&#160;8,&#160;1996",Runway overrun after failed takeoff,Moscow Airways,0,6,225,4
Birgenair Flight 301,6 February 1996,"Blocked speed sensor leading to autopilot and <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Birgenair,176,13,189,0
ValuJet Airlines Flight 592,"May&#160;11,&#160;1996","Accidental activation of poorly packaged dangerous cargo, leading to in-flight fire and loss of control",ValuJet Airlines,105,5,110,0
Eastwind Airlines Flight 517,"June 9, 1996","<a href=""/wiki/Rudder"" title=""Rudder"">Rudder</a> hardover",Eastwind Airlines,48,5,0,53
Garuda Indonesia Flight 865,13 June 1996,"<a href=""/wiki/Rejected_takeoff"" title=""Rejected takeoff"">Rejected takeoff</a> due to <a href=""/wiki/Engine_failure"" class=""mw-redirect"" title=""Engine failure"">engine failure</a>; pilot error",Garuda Indonesia,260,15,3,272
Delta Air Lines Flight 1288,"July&#160;6,&#160;1996","Uncontained <a href=""/wiki/Turbine_engine_failure"" title=""Turbine engine failure"">turbine failure</a>",Delta Air Lines,137,5,2,140
TWA Flight 800,"July&#160;17,&#160;1996",Fuel tank explosion,Trans World Airlines,212,18,230,0
Vnukovo Airlines Flight 2801,29 August 1996,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Vnukovo Airlines,130,11,141,0
Aeroperú Flight 603,2&#160;October&#160;1996,Maintenance error; instrument failure due to tape on the static ports,Aeroperú,61,9,70,0
ADC Airlines Flight 86,7 November 1996,"ATC error, and pilot misjudgment after TCAS warning",ADC Airlines,134,10,144,0
"Saudi Arabian Airlines Flight 763<br />
Kazakhstan Airlines Flight 1907",12 November 1996,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a> caused by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a> on <a href=""/wiki/Kazakhstan_Airlines"" title=""Kazakhstan Airlines"">Kazakhstan Airlines</a> aircraft",Kazakhstan Airlines,289,23,312,0
Ethiopian Airlines Flight 961,23 November 1996,"<a href=""/wiki/Fuel_starvation"" title=""Fuel starvation"">Fuel exhaustion</a> due to <a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">hijacking</a>, <a href=""/wiki/Water_landing"" title=""Water landing"">water landing</a>",Ethiopian Airlines,163,12,125,50
Comair Flight 3272,"January 9, 1997","<a href=""/wiki/Atmospheric_icing"" title=""Atmospheric icing"">Atmospheric icing</a> and <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a><br />
leading to <a href=""/wiki/List_of_airliner_crashes_involving_loss_of_control"" class=""mw-redirect"" title=""List of airliner crashes involving loss of control"">loss of control</a>",Comair,26,3,29,0
Stavropolskaya Aktsionernaya Avia Flight 1023,18 March 1997,structural failure,Stavropolskaya Aktsionernaya Avia (page does not exist),44,6,50,0
FedEx Express Flight 14,"July 31, 1997","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",FedEx Express,3,2,0,5
Sempati Air Flight 304,17 July 1997,"<a href=""/wiki/Engine_failure_on_take-off"" title=""Engine failure on take-off"">Engine failure on take-off</a> (EFTO), <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Sempati Air,45,4,28,22
Korean Air Flight 801,"August 6, 1997","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, Insufficient training, Pilot Fatigue, <a href=""/wiki/Controlled_Flight_Into_Terrain"" class=""mw-redirect"" title=""Controlled Flight Into Terrain"">CFIT</a>",Korean Air,237,17,228,26
Formosa Airlines Flight 7601,10 August 1997,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Formosa Airlines,14,2,16,0
Vietnam Airlines Flight 815,"September 3, 1997",Pilot error,Vietnam Airlines,60,6,65,1
Flight 238,6 September 1997,"<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>",Royal Brunei Airlines,8,2,10,0
Garuda Indonesia Flight 152,"September 26, 1997","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to ATC error, pilot error and GPWS malfunction",Garuda Indonesia,222,12,234,0
Tajikistan Airlines Flight 3183,15&#160;December&#160;1997,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Tajikistan Airlines,79,7,85,1
SilkAir Flight 185,19 December 1997,"
<ul>
<li><a href=""/wiki/Pilot_suicide"" class=""mw-redirect"" title=""Pilot suicide"">Pilot suicide</a> (<a href=""/wiki/National_Transportation_Safety_Board"" title=""National Transportation Safety Board"">NTSB</a>)</li>
<li><a href=""/w/index.php?title=Inconclusive_evidence_to_determine_cause&amp;action=edit&amp;redlink=1"" class=""new"" title=""Inconclusive evidence to determine cause (page does not exist)"">Inconclusive evidence to determine cause</a> (<a href=""/wiki/National_Transportation_Safety_Committee"" title=""National Transportation Safety Committee"">NTSC</a>)</li>
<li><a href=""/wiki/Rudder"" title=""Rudder"">Rudder</a> malfunction (Los Angeles Court)</li>
</ul>
",SilkAir,97,7,104,0
United Airlines Flight 826,"December 28, 1997","<a href=""/wiki/Clear-air_turbulence"" title=""Clear-air turbulence"">Clear-air turbulence</a>",United Airlines,374,19,1,392
Cebu Pacific Flight 387,2 February 1998,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, cause unknown and disputed",Cebu Pacific Air,99,5,104,0
China Airlines Flight 676,16 February 1998,"Crash on approach due to bad weather and <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",China Airlines,182,14,203,0
Philippine Airlines Flight 137,,Runway overrun caused by pilot error,Philippine Airlines,124,6,3,130
Air France Flight 422,20 April 1998,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain (CFIT)</a> aggravated by inclement weather",TAME,43,10,53,0
1998 MIAT Mongolian Airlines crash,26 May 1998,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> possibly caused by overloading",MIAT Mongolian Airlines,26,2,28,0
Proteus Airlines Flight 706,"July 30, 1998","<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Aircraft registration,12,2,14,0
Myanma Airways Flight 635,24 August 1998,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Myanma Airways,32,4,36,0
Swissair Flight 111,2 September 1998,"In-flight fire, leading to electrical and instrument failure, causing spatial disorientation and loss of control<sup id=""cite_ref-A98H0003_Final_Report_1-0"" class=""reference""><a href=""#cite_note-A98H0003_Final_Report-1"">[1]</a></sup><sup class=""reference"" style=""white-space:nowrap;"">:253–254</sup>",Swissair,215,14,229,0
PauknAir Flight 4101,25&#160;September&#160;1998,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",PauknAir,34,4,38,0
Thai Airways International Flight 261,11 December 1998,"Stalled, spatial disorientation in inclement weather, pilot error",Thai Airways,132,14,101,45
Turkish Airlines Flight 5904,7 April 1999,"Impacted ground shortly after takeoff due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Turkish Airlines,0,6,6,0
American Airlines Flight 1420,"June 1, 1999","Runway overrun in inclement weather due to pilot error <sup id=""cite_ref-NTSB_AAR-01-02_1-0"" class=""reference""><a href=""#cite_note-NTSB_AAR-01-02-1"">[1]</a></sup><sup class=""reference"" style=""white-space:nowrap;"">:xii</sup>",American Airlines,139,6,11,134
Britannia Airways Flight BY226A,14 September 1999,Destabilised approach in inclement weather,Britannia Airways,236,9,1,244
EgyptAir Flight 990,"October 31, 1999","
<div class=""plainlist"">
<ul>
<li>Deliberate crash; <a href=""/wiki/Suicide_by_pilot"" title=""Suicide by pilot"">suicide by co-pilot</a> (NTSB)</li>
<li>Mechanical failure (ECAA)</li>
</ul>
</div>
",EgyptAir,203,14,217,0
Asian Spirit Flight 100,"December 7, 1999","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (cause unknown)",Asian Spirit,15,2,17,0
Cubana de Aviación Flight 1216,21 December 1999,Runway overrun,Cubana de Aviación,296,18,18,298
Cubana de Aviación Flight 310,25 December 1999,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> aggravated by pilot error",Cubana de Aviación,10,12,22,0
Crossair Flight LX498,,Pilot error,Crossair,7,3,10,0
Kenya Airways Flight 431,30 January 2000,"Electrical fault combined with <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Kenya Airways,169,10,169,10
Alaska Airlines Flight 261,,"<a href=""/wiki/Jackscrew"" title=""Jackscrew"">Jackscrew</a> failure due to improper maintenance<sup id=""cite_ref-AAR-02-01_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-02-01_Final_Report-1"">[1]</a></sup>",Alaska Airlines,83,5,88,0
Southwest Airlines Flight 1455,,"Overrun due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Southwest Airlines,137,5,0,142
Air Philippines Flight 541,,"<a href=""/wiki/Pilot_(aircraft)"" class=""mw-redirect"" title=""Pilot (aircraft)"">Pilot</a> error, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Air Philippines,124,7,131,0
Wuhan Airlines Flight 343,"June 22, 2000","<a href=""/wiki/Lightning"" title=""Lightning"">Lightning strike</a>",Wuhan Airlines,38,4,49,0
Aerocaribe Flight 7831,8 July 2000,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Aerocaribe,17,2,19,0
Hapag-Lloyd Flight 3378,,"<a href=""/wiki/Fuel_exhaustion"" class=""mw-redirect"" title=""Fuel exhaustion"">Fuel exhaustion</a> due to maintenance error, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Hapag-Lloyd Flug,143,8,0,151
Alliance Air Flight 7412,17 July 2000,Pilot violating approach procedure which leads to loss of control,Air India Regional,52,6,60,3
Air France Flight 4590,25&#160;July&#160;2000,"<a href=""/wiki/Foreign_object_damage"" title=""Foreign object damage"">Foreign object damage</a> caused by mechanical failure on <a href=""/wiki/McDonnell_Douglas_DC-10"" title=""McDonnell Douglas DC-10"">DC-10</a>, leading to in-flight fire and loss of control",Continental Airlines,100,9,113,0
Singapore Airlines Flight 006,,Crashed during takeoff on closed runway,Singapore Airlines,159,20,83,96
Dirgantara Air Service Flight 3130,18&#160;November&#160;2000,Loss of control due to overloading and pilot's misperception,Dirgantara Air Service,17,1,0,18
British Airways Flight 2069,29 December 2000,Attempted suicide hijacking,British Airways,379,19,0,398
Yemenia Airways Flight 448,23 January 2001,Hijacking,Yemenia Airways,91,10,0,101
"2001 Japan Airlines mid-air incident<br />
日本航空機駿河湾上空ニアミス事故",,"Near miss, <a href=""/wiki/Air_traffic_control"" title=""Air traffic control"">ATC error</a>",Japan Airlines,411,16,0,427
2001 Avjet Aspen crash,29&#160;March&#160;2001,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Aircraft registration,15,3,18,0
Binter Mediterráneo Flight 8261,29 August 2001,"<a href=""/wiki/Forced_landing"" title=""Forced landing"">Forced landing</a>",Binter Mediterráneo,44,3,4,43
American Airlines Flight 11,"Tuesday, September 11, 2001","<a href=""/wiki/Terrorist"" class=""mw-redirect"" title=""Terrorist"">Terrorist</a> <a href=""/wiki/Suicide_attack"" title=""Suicide attack"">suicide</a> <a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">hijacking</a>",American Airlines,81,11,92,0
United Airlines Flight 175,"Tuesday, September 11, 2001","<a href=""/wiki/Terrorist"" class=""mw-redirect"" title=""Terrorist"">Terrorist</a> <a href=""/wiki/Suicide_attack"" title=""Suicide attack"">suicide</a> <a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">hijacking</a>",United Airlines,56,9,65,0
American Airlines Flight 77,"Tuesday, September 11, 2001","<a href=""/wiki/Terrorism"" title=""Terrorism"">Terrorist</a> <a href=""/wiki/Suicide_attack"" title=""Suicide attack"">suicide</a> <a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">hijacking</a>",American Airlines,58,6,189,0
United Airlines Flight 93,"Tuesday, September 11, 2001","<a href=""/wiki/Terrorist"" class=""mw-redirect"" title=""Terrorist"">Terrorist</a> <a href=""/wiki/Suicide_attack"" title=""Suicide attack"">suicide</a> <a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">hijacking</a>",United Airlines,37,7,44,0
Siberia Airlines Flight 1812,4 October 2001,Accidental shootdown,S7 Airlines,66,12,78,0
Linate Airport disaster,,"Runway incursion, poor visibility due to heavy fog",Aircraft registration,104,6,110,0
American Airlines Flight 587,,"Crashed shortly after takeoff due to tail structure failure<sup id=""cite_ref-AAR-04-04_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-04-04_Final_Report-1"">[1]</a></sup>",American Airlines,251,9,265,0
Crossair Flight 3597,,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>, lack of <a href=""/wiki/Pilot_training"" class=""mw-redirect"" title=""Pilot training"">pilot training</a> and crew experience",Crossair,28,5,24,9
Garuda Indonesia Flight 421,,"<a href=""/wiki/Flameout"" title=""Flameout"">Flameout</a> of both engines in heavy rain/hail",Garuda Indonesia,54,6,1,59
TAME Flight 120,,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, Controlled flight into terrain",TAME,87,7,94,0
Iran Air Tours Flight 956,12 February 2002,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, pilot error",Iran Air Tours,107,12,119,0
EAS Airlines Flight 4226,4 May 2002,"Engine failure leading to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",EAS Airlines,69,8,149,6
China Airlines Flight 611,,"In-flight break-up due to maintenance error &amp; <a href=""/wiki/Metal_fatigue"" class=""mw-redirect"" title=""Metal fatigue"">metal fatigue</a>",China Airlines,206,19,225,0
"Bashkirian Airlines Flight 2937<br />
DHL Flight 611",,"Collision caused by <a href=""/wiki/Air_traffic_control"" title=""Air traffic control"">ATC</a> confusion and compounded by ambiguity in <a href=""/wiki/TCAS"" class=""mw-redirect"" title=""TCAS"">TCAS</a> operation",DHL International Aviation ME,60,9,69,0
2002 Prestige Airlines Boeing 707 crash,4&#160;July&#160;2002,"<a href=""/wiki/Landing_gear"" title=""Landing gear"">Landing gear</a> malfunction",Prestige Airlines (page does not exist),21,9,28,2
Swiss International Airlines Flight 850,10 July 2002,"Multiple issues – weather, crew resource management, incorrect ATC phraseology, incorrect runway markings.",Swiss International Air Lines,16,4,0,20
Northwest Airlines Flight 85,"October&#160;9,&#160;2002",Rudder hardover due to metal fatigue,Northwest Airlines,386,18,0,404
Luxair Flight 9642,6 November 2002,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> aggravated by inclement weather",Luxair,19,3,20,2
Air Midwest Flight 5481,,"<a href=""/wiki/Stall_(fluid_mechanics)"" title=""Stall (fluid mechanics)"">Stall</a> after takeoff due to maintenance error and overloading",Air Midwest,19,2,21,0
Turkish Airlines Flight 634,8 January 2003,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Turkish Airlines,75,5,75,5
Air Algérie Flight 6289,6 March 2003,"<a href=""/wiki/Engine_failure_on_take-off"" title=""Engine failure on take-off"">EFTO</a>",Air Algérie,97,6,102,1
UM Airlines Flight 4230,26 May 2003,"<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a> due to pilot fatigue",UM Airlines,62,13,75,0
Qantas Flight 1737,29 May 2003,"Attempted <a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Qantas,47,6,0,53
Sudan Airways Flight 139,8&#160;July&#160;2003,"Mechanical failure followed by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Sudan Airways,106,11,117,0
"<a href=""/wiki/European_Air_Transport"" class=""mw-redirect"" title=""European Air Transport"">European Air Transport</a> OO-DLL",,"Terrorist missile attack, attempted shootdown, loss of flight controls",European Air Transport,0,3,0,3
FedEx Express Flight 647,"December&#160;18,&#160;2003","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a><sup id=""cite_ref-AAR-05-01_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-05-01_Final_Report-1"">[1]</a></sup>",FedEx Express,5,2,0,7
Flash Airlines Flight 604,,"
<p>Unresolved (dispute between investigators)</p>
<ul>
<li><a href=""/wiki/Banked_turn"" title=""Banked turn"">Uncommanded bank</a> (possible mechanical or software malfunctions)</li>
<li><a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">Spatial disorientation</a>, <a href=""/wiki/Human_error"" title=""Human error"">human error</a> and lack of proper adequate crew training.</li>
</ul>
",Flash Airlines,135,13,148,0
Kish Air Flight 7170,10 February 2004,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Kish Air,40,6,43,3
Rico Linhas Aéreas Flight 4815,14 May 2004,Undetermined,Rico Linhas Aéreas,30,3,33,0
2004 Russian aircraft bombings,24 August 2004,Suicide bombings,Siberia Airlines,35,9,44,0
MK Airlines Flight 1602,14 October 2004,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> due to inadequate company-related management of aircraft",MK Airlines,0,7,7,0
Pinnacle Airlines Flight 3701,,"Engine flameout, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot disregard for procedure</a>",Pinnacle Airlines,0,2,2,0
Lion Air Flight 538,,"Runway <a href=""/wiki/Overshoot_(aviation)"" class=""mw-redirect"" title=""Overshoot (aviation)"">overshoot</a> caused by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Lion Air,146,7,25,128
British Airways Flight 268,20 February 2005,Engine fire (No.2) and shutdown on climbout,British Airways,351,18,0,369
Air Transat Flight 961,,"<a href=""/wiki/Structural_failure"" class=""mw-redirect"" title=""Structural failure"">Structural failure</a> of the Rudder in flight due to a stress fracture",Air Transat,262,9,0,271
2005 Logan Airport runway incursion,,"<a href=""/wiki/Air_traffic_control"" title=""Air traffic control"">ATC</a> error, near miss",US Airways,260,12,0,272
2005 Logan Airport runway incursion,,"<a href=""/wiki/Air_traffic_control"" title=""Air traffic control"">ATC</a> error, near miss",US Airways,260,12,0,272
2005 Equatorial Express Airlines An-24 crash,16 July 2005,Overloading,Equatair,54,6,60,0
Air France Flight 358,,"Weather-induced runway overshoot, lack of company procedures, and <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Air France,297,12,0,309
Tuninter Flight 1153,6 August 2005,"<a href=""/wiki/Ditching"" class=""mw-redirect"" title=""Ditching"">Ditching</a>, <a href=""/wiki/Fuel_exhaustion"" class=""mw-redirect"" title=""Fuel exhaustion"">fuel exhaustion</a> due to maintenance error and <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Tuninter,35,4,16,23
Helios Airways Flight 522,,"Loss of <a href=""/wiki/Cabin_pressurization"" title=""Cabin pressurization"">cabin pressurization</a>, crew incapacitation, <a href=""/wiki/Fuel_exhaustion"" class=""mw-redirect"" title=""Fuel exhaustion"">fuel exhaustion</a>",Helios Airways,115,6,121,0
TANS Perú Flight 204,23 August 2005,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",TANS Perú,91,7,40,58
JetBlue Flight 292,,"Front <a href=""/wiki/Landing_gear"" title=""Landing gear"">undercarriage</a> malfunction",JetBlue Airways,140,6,0,146
Bellview Airlines Flight 210,,Undetermined,Bellview Airlines,111,6,117,0
Southwest Airlines Flight 1248,,Runway overrun in snowstorm,Southwest Airlines,98,5,1,103
Sosoliso Airlines Flight 1145,,Missed approach due to pilot error aggravated by windshear.,Sosoliso Airlines,103,7,108,2
Chalk's Ocean Airways Flight 101,"December&#160;19,&#160;2005","In-flight structural failure due to <a href=""/wiki/Metal_fatigue"" class=""mw-redirect"" title=""Metal fatigue"">metal fatigue</a>",Chalk's International Airlines,18,2,20,0
Azerbaijan Airlines Flight 217,23 December 2005,"Instrument failure, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">controlled flight into terrain</a>",Azerbaijan Airlines,18,5,23,0
Armavia Flight 967,,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>,<br />
<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, Psycho-emotional stress",Armavia,105,8,113,0
S7 Airlines Flight 778,9 July 2006,"Landing accident, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",S7 Airlines,195,8,125,78
Pakistan International Airlines Flight 688,,"Engine failure which led to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Aircraft registration,41,4,45,0
Pulkovo Aviation Enterprise Flight 612,,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a><sup id=""cite_ref-iac_1-0"" class=""reference""><a href=""#cite_note-iac-1"">[1]</a></sup>",Pulkovo Aviation Enterprise,160,10,170,0
Comair Flight 5191,,"<a href=""/wiki/Runway_excursion"" class=""mw-redirect"" title=""Runway excursion"">Runway confusion</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Comair,47,3,49,1
Iran Air Tours Flight 945,1 September 2006,Fire,Iran Air Tours,137,11,28,120
Gol Transportes Aéreos Flight 1907,29 September 2006,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>, ATC error and <a href=""/wiki/TCAS"" class=""mw-redirect"" title=""TCAS"">TCAS</a> on Legacy jet turned off",ExcelAire,148,6,154,0
Turkish Airlines Flight 1476,,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Turkish Airlines,107,6,0,113
Atlantic Airways Flight 670,10 October 2006,"Runway overrun due to <a href=""/wiki/Aquaplaning"" title=""Aquaplaning"">hydroplaning</a>",Atlantic Airways,12,4,4,12
Aviation Development Company Flight 53,,"<a href=""/wiki/Wind_shear"" title=""Wind shear"">Wind shear</a>, subsequent <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a> causing it to stall and crash",ADC Airlines,105,5,96,9
Adam Air Flight 574,,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>,<sup id=""cite_ref-flight080325_1-0"" class=""reference""><a href=""#cite_note-flight080325-1"">[1]</a></sup> <a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">spatial disorientation</a>, <a href=""/wiki/Inertial_reference_system"" class=""mw-redirect"" title=""Inertial reference system"">inertial reference system</a> (IRS) malfunction",Adam Air,96,6,102,0
2007 Balad aircraft crash,,Cause in dispute,AerianTur-M,30,5,34,1
Air West Flight 612,,Hijacking,Air West,95,8,0,103
Adam Air Flight 172,21 February 2007,"Structural failure upon landing due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Adam Air,143,6,0,149
Garuda Indonesia Flight 200,7 March 2007,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> caused by improper training, <a href=""/wiki/Runway_overrun"" class=""mw-redirect"" title=""Runway overrun"">Runway overrun</a>, lack of <a href=""/wiki/Crew_resource_management"" title=""Crew resource management"">crew resource management</a>",Garuda Indonesia,133,7,21,119
UTair Flight 471,,Structural failure during an emergency landing,UTair Aviation,50,7,6,51
2007 Mogadishu TransAVIAexport Airlines Il-76 crash,23&#160;March&#160;2007,Suspected shootdown,TransAVIAexport Airlines,4,7,11,0
Kenya Airways Flight 507,5 May 2007,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">spatial disorientation</a>",Kenya Airways,108,6,114,0
2007 Paramount Airlines helicopter crash,3 June 2007,Mechanical failure,Paramount Airlines,20,2,22,1
PMTair Flight 241,,"Inconclusive, <a href=""/wiki/Controlled_Flight_Into_Terrain"" class=""mw-redirect"" title=""Controlled Flight Into Terrain"">CFIT</a>",PMTair,16,6,22,0
TAM Airlines Flight 3054,,"Runway <a href=""/wiki/Overshoot_(aviation)"" class=""mw-redirect"" title=""Overshoot (aviation)"">overshoot</a> caused by irregular power setting, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",TAM Airlines,180,7,199,0
