title,year,summary,operator,passengers,crew,fatalities,survivors
Air France Flight 296,1988,,Air France,130,6,3,133
Delta Air Lines Flight 1141,1988,,Delta Air Lines,101,7,14,94
Ethiopian Airlines Flight 604,1988,,Ethiopian Airlines,98,6,35,69
Pan Am Flight 103,1988,,Pan American World Airways,243,16,270,0
United Airlines Flight 811,1989,,United Airlines,337,18,9,346
United Airlines Flight 232,1989,,United Airlines,279,17,111,185
Olympic Aviation Flight 545,1989,,Olympic Aviation,31,3,34,0
Avianca Flight 203,1989,,Avianca Airlines,101,6,110,0
Northwest Airlines Flight 5,1990,,Northwest Airlines,139,6,0,145
Avianca Flight 52,1990,,Avianca,149,9,73,85
Widerøe Flight 839,1990,,Widerøe,3,2,5,0
Philippine Airlines Flight 143,1990,,Philippine Airlines,114,6,8,112
Alitalia Flight 404,1990,,Alitalia,40,6,46,0
"Northwest Airlines<br />
Flight 1482&#160;<b>·</b> Flight 299",1990,,Northwest Airlines,40,4,8,36
L'Express Airlines Flight 508,1991,,L'Express Airlines,13,2,13,2
Nigeria Airways Flight 2120,1991,,Nolisair,247,14,261,0
Indian Airlines Flight IC-257,1991,,Indian Airlines,63,6,69,0
Continental Express Flight 2574,1991,,Britt Airways,11,3,14,0
Air Inter Flight 148,1992,,Air Inter,90,6,87,9
USAir Flight 405,1992,,US Airways,47,4,27,24
Copa Airlines Flight 201,1992,,Copa Airlines,40,7,47,0
1993 Tajik Air Yakovlev Yak-40 incident,1993,,Tajik Air,81,5,82,4
Widerøe Flight 744,1993,,Widerøe,17,2,6,13
China Airlines Flight 605,1993,,China Airlines,374,22,0,396
Northwest Airlink Flight 5719,1993,,Express Airlines I,16,2,18,0
Baikal Airlines Flight 130,1994,,Baikal Airlines,115,9,125,0
Federal Express Flight 705,1994,,FedEx Express,1,3,0,4
China Airlines Flight 140,1994,,China Airlines,256,15,264,7
China Northwest Airlines Flight 2303,1994,,China Northwest Airlines,146,14,160,0
Royal Air Maroc Flight 630,1994,,Royal Air Maroc,40,4,44,0
USAir Flight 427,1994,,US Airways,127,5,132,0
American Eagle Flight 4184,1994,,Simmons Airlines,64,4,68,0
Air France Flight 8969,1994,,Air France,224,12,7,229
Turkish Airlines Flight 278,1994,,Turkish Airlines,69,7,57,19
Bristow Flight 56C,1995,,Bristow Helicopters,16,2,0,18
TAROM Flight 371,1995,,TAROM,50,10,60,0
Atlantic Southeast Airlines Flight 529,1995,,Atlantic Southeast Airlines,26,3,9,20
Malaysia Airlines Flight 2133,1995,,Malaysia Airlines,49,4,34,19
Azerbaijan Airlines Flight 56,1995,,Azerbaijan Airlines,76,6,52,30
American Airlines Flight 965,1995,,American Airlines,155,8,159,4
1996 Air Africa crash,1996,,Moscow Airways,0,6,225,4
Birgenair Flight 301,1996,,Birgenair,176,13,189,0
ValuJet Airlines Flight 592,1996,,ValuJet Airlines,105,5,110,0
Delta Air Lines Flight 1288,1996,,Delta Air Lines,137,5,2,140
TWA Flight 800,1996,,Trans World Airlines,212,18,230,0
Vnukovo Airlines Flight 2801,1996,,Vnukovo Airlines,130,11,141,0
Aeroperú Flight 603,1996,,Aeroperú,61,9,70,0
Comair Flight 3272,1997,,Comair,26,3,29,0
FedEx Express Flight 14,1997,,FedEx Express,3,2,0,5
Korean Air Flight 801,1997,,Korean Air,237,17,228,26
Garuda Indonesia Flight 152,1997,,Garuda Indonesia,222,12,234,0
Tajikistan Airlines Flight 3183,1997,,Tajikistan Airlines,79,7,85,1
SilkAir Flight 185,1997,,SilkAir,97,7,104,0
Cebu Pacific Flight 387,1998,,Cebu Pacific Air,99,5,104,0
Philippine Airlines Flight 137,1998,,Philippine Airlines,124,6,3,130
1998 Occidental Petroleum Boeing 737 crash,1998,,Occidental Petroleum,80,8,75,13
PauknAir Flight 4101,1998,,PauknAir,34,4,38,0
Crossair Flight LX498,2000,,Crossair,7,3,10,0
Alaska Airlines Flight 261,2000,,Alaska Airlines,83,5,88,0
Southwest Airlines Flight 1455,2000,,Southwest Airlines,137,5,0,142
Air Philippines Flight 541,2000,,Air Philippines,124,7,131,0
Hapag-Lloyd Flight 3378,2000,,Hapag-Lloyd Flug,143,8,0,151
Air France Flight 4590,2000,,Continental Airlines,100,9,113,0
Singapore Airlines Flight 006,2000,,Singapore Airlines,159,20,83,96
Dirgantara Air Service Flight 3130,2000,,Dirgantara Air Service,17,1,0,18
Yemenia Airways Flight 448,2001,,Yemenia Airways,91,10,0,101
"2001 Japan Airlines mid-air incident<br />
日本航空機駿河湾上空ニアミス事故",2001,,Japan Airlines,411,16,0,427
2001 Avjet Aspen crash,2001,,Aircraft registration,15,3,18,0
American Airlines Flight 11,2001,,American Airlines,81,11,92,0
United Airlines Flight 175,2001,,United Airlines,56,9,65,0
American Airlines Flight 77,2001,,American Airlines,58,6,189,0
United Airlines Flight 93,2001,,United Airlines,37,7,44,0
Linate Airport disaster,2001,,Aircraft registration,104,6,110,0
American Airlines Flight 587,2001,,American Airlines,251,9,265,0
Crossair Flight 3597,2001,,Crossair,28,5,24,9
Garuda Indonesia Flight 421,2002,,Garuda Indonesia,54,6,1,59
TAME Flight 120,2002,,TAME,87,7,94,0
